period,respondent,respondent-name,type,type-name,value,value-units
2023-01-16T01,CISO,California Independent System Operator,D,Demand,24416,megawatthours
2023-01-16T02,CISO,California Independent System Operator,D,Demand,25067,megawatthours
2023-01-16T03,CISO,California Independent System Operator,D,Demand,26439,megawatthours
2023-01-16T04,CISO,California Independent System Operator,D,Demand,26548,megawatthours
2023-01-16T05,CISO,California Independent System Operator,D,Demand,26128,megawatthours
2023-01-16T06,CISO,California Independent System Operator,D,Demand,25438,megawatthours
2023-01-16T07,CISO,California Independent System Operator,D,Demand,24807,megawatthours
2023-01-16T08,CISO,California Independent System Operator,D,Demand,23606,megawatthours
2023-01-16T09,CISO,California Independent System Operator,D,Demand,22183,megawatthours
2023-01-16T10,CISO,California Independent System Operator,D,Demand,21788,megawatthours
2023-01-16T11,CISO,California Independent System Operator,D,Demand,21106,megawatthours
2023-01-16T12,CISO,California Independent System Operator,D,Demand,20874,megawatthours
2023-01-16T13,CISO,California Independent System Operator,D,Demand,20661,megawatthours
